# Truth table
# Generated from circuit PLA_ALL
# Exported on Sat Oct 03 17:57:30 CEST 2020

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

 M[1..0] I[4..0] | PF[3..0] GS[1..0] CS[2..0] SL[1..0] BR[1..0] SHR CMP P2 SH1   A_M SHL8 SHR8 EXT SEXT   R_A SP_A PC_A R_B K_B  ALUQ M_Q D_Q   WRRD WRSP WRSR WMAR WPMAR  HLT NXT NEXT[3..0]
    11    10000  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10001  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10010  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10011  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10100  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10101  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10110  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    10111  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11000  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11001  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11010  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11011  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11100  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11101  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11110  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable
    11    11111  |   xxxx     xx       xxx      xx       xx      x   x  x   x     x   x    x    x    x     x   x   x     x   x     x   x   x     x    x    x    x    x      x    x   xxxx     #unavailable

